age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount
59,Male,Married,Master's,24240.19,2020.02,Employed,0.074,743,17173.72
72,Female,Married,Bachelor's,20172.98,1681.08,Employed,0.219,531,22663.89
49,Female,Single,High School,26181.8,2181.82,Employed,0.234,779,3631.36
35,Female,Single,High School,11873.84,989.49,Employed,0.264,809,14939.23
63,Other,Single,Other,25326.44,2110.54,Employed,0.26,663,16551.71
28,Male,Single,High School,55559.8,4629.98,Employed,0.081,774,12724.02
41,Male,Single,Bachelor's,24642.88,2053.57,Unemployed,0.165,742,5905.27
59,Female,Single,Bachelor's,52610.69,4384.22,Employed,0.135,810,15136.35
39,Other,Single,High School,62922.05,5243.5,Employed,0.074,724,500
43,Female,Single,High School,53439.89,4453.32,Employed,0.375,796,14712.38
31,Female,Married,High School,37067.58,3088.96,Self-employed,0.166,722,24847.59
31,Female,Married,Bachelor's,73500.9,6125.08,Employed,0.17,687,500
44,Male,Single,Master's,71284.88,5940.41,Employed,0.313,738,16352.99
73,Female,Married,Bachelor's,23763.07,1980.26,Employed,0.272,637,18191.26
56,Female,Divorced,Bachelor's,21597.98,1799.83,Employed,0.153,764,14908.25
60,Female,Married,Bachelor's,27877.04,2323.09,Student,0.269,618,15819.7
44,Male,Widowed,Master's,30137.96,2511.5,Employed,0.059,720,10886.6
23,Male,Single,Bachelor's,73356.57,6113.05,Employed,0.092,589,28579.38
42,Male,Married,High School,58633.23,4886.1,Employed,0.21,578,16116.67
73,Male,Married,Bachelor's,39383.19,3281.93,Employed,0.229,732,19078.95
22,Female,Single,Master's,40245.27,3353.77,Employed,0.113,564,9831.78
44,Male,Widowed,Master's,18875.14,1572.93,Employed,0.158,694,9607.62
64,Male,Divorced,PhD,70246.14,5853.84,Employed,0.1,440,8853.43
50,Male,Single,High School,40422.15,3368.51,Employed,0.067,753,19415.58
58,Female,Divorced,Other,19364.05,1613.67,Self-employed,0.14,619,18128.74
22,Female,Single,High School,13220.54,1101.71,Self-employed,0.122,709,9692.3
41,Male,Married,High School,16936.71,1411.39,Employed,0.425,705,18627.46
53,Male,Single,Bachelor's,37957.37,3163.11,Employed,0.135,739,9656.48
32,Male,Single,High School,7884.14,657.01,Employed,0.222,692,5772.28
42,Female,Married,Bachelor's,18014.35,1501.2,Employed,0.212,702,11345.92
64,Male,Single,PhD,48453.69,4037.81,Employed,0.195,610,5285.92
45,Female,Single,Other,27944.46,2328.7,Self-employed,0.132,553,6268.32
69,Male,Single,Bachelor's,12516.84,1043.07,Employed,0.562,818,10469.04
47,Male,Single,Bachelor's,24864.78,2072.06,Employed,0.111,629,6321.47
62,Female,Married,Other,34248.84,2854.07,Employed,0.09,685,10673.12
48,Male,Single,Bachelor's,63805.67,5317.14,Employed,0.199,657,22298.23
36,Female,Married,Other,47699.49,3974.96,Unemployed,0.218,806,23171.53
35,Male,Single,PhD,46684.56,3890.38,Employed,0.101,717,13275.22
67,Female,Single,High School,55926.72,4660.56,Self-employed,0.088,727,20613.2
71,Female,Single,High School,13295.77,1107.98,Employed,0.117,623,13225.93
64,Female,Married,Bachelor's,76626.81,6385.57,Employed,0.154,750,8606.43
75,Male,Single,Master's,76748.44,6395.7,Retired,0.163,759,2284.88
72,Male,Married,Master's,25153.1,2096.09,Self-employed,0.04,719,17789.74
23,Male,Single,Bachelor's,6018.9,501.58,Unemployed,0.104,602,26387.55
57,Female,Married,High School,80634.33,6719.53,Self-employed,0.241,693,22884.38
71,Female,Single,High School,6969.14,580.76,Employed,0.206,727,23939.96
27,Male,Married,Other,45571.44,3797.62,Employed,0.143,714,8316.32
41,Male,Single,Bachelor's,27707.6,2308.97,Employed,0.069,673,10351.45
29,Female,Single,Bachelor's,25314.19,2109.52,Employed,0.107,608,21421.74
59,Male,Single,PhD,28021.38,2335.12,Employed,0.183,697,10606.79
38,Male,Single,Master's,39324.09,3277.01,Employed,0.171,593,15284.49
24,Male,Married,Bachelor's,10032.47,836.04,Employed,0.098,643,19958.98
45,Female,Widowed,Bachelor's,32388.96,2699.08,Unemployed,0.44,598,18787.69
34,Female,Single,Master's,15417.43,1284.79,Employed,0.09,665,500
70,Other,Married,Bachelor's,26839.94,2236.66,Employed,0.039,658,33869
29,Male,Single,Bachelor's,40020.77,3335.06,Employed,0.073,655,23131.95
46,Female,Single,High School,61428.94,5119.08,Unemployed,0.294,580,2855.15
73,Female,Single,Master's,23364.87,1947.07,Employed,0.098,785,19723.17
22,Male,Married,Other,106317.95,8859.83,Employed,0.106,648,9020.84
40,Female,Single,Other,21245.26,1770.44,Self-employed,0.358,652,17952.71
48,Male,Married,Bachelor's,21576.38,1798.03,Employed,0.147,587,22296.51
67,Male,Single,Bachelor's,67313.56,5609.46,Employed,0.097,605,5207.8
27,Male,Single,High School,31299.21,2608.27,Retired,0.221,707,13459.01
64,Male,Single,Bachelor's,40464.81,3372.07,Unemployed,0.165,791,22931.8
28,Female,Single,Bachelor's,27080.78,2256.73,Employed,0.094,708,41679.04
67,Male,Single,Master's,29019.47,2418.29,Self-employed,0.319,682,12183.94
55,Male,Single,High School,44794.43,3732.87,Employed,0.09,733,2044.83
34,Male,Single,Bachelor's,77862.02,6488.5,Employed,0.052,662,6954.56
37,Female,Married,Bachelor's,39502.26,3291.86,Employed,0.291,667,27060.87
56,Female,Single,High School,46969.67,3914.14,Employed,0.033,732,17320.78
70,Female,Married,High School,65446.1,5453.84,Employed,0.057,665,15303.67
60,Female,Single,Bachelor's,27471.78,2289.32,Self-employed,0.075,798,30714.91
24,Male,Married,Bachelor's,20180.13,1681.68,Employed,0.354,646,10419.48
22,Male,Single,Bachelor's,19642.89,1636.91,Employed,0.085,645,20987.63
26,Female,Single,Bachelor's,21341.14,1778.43,Employed,0.254,594,9605.16
74,Male,Widowed,High School,19411.96,1617.66,Employed,0.118,686,11636.29
62,Male,Single,High School,70252.63,5854.39,Employed,0.293,816,14260.74
24,Female,Married,High School,11724.35,977.03,Employed,0.272,796,4185.81
74,Male,Married,High School,51764.58,4313.72,Employed,0.2,714,3953.41
49,Male,Single,Master's,17412.33,1451.03,Employed,0.126,692,12889.65
38,Male,Divorced,High School,106377.8,8864.82,Employed,0.135,575,10809.07
46,Male,Married,High School,46235.93,3852.99,Employed,0.24,723,23461.16
64,Female,Married,High School,21467.5,1788.96,Employed,0.096,632,4489.55
54,Female,Widowed,Bachelor's,26239.21,2186.6,Self-employed,0.065,731,22433.03
30,Female,Married,Bachelor's,34533.91,2877.83,Employed,0.252,746,15912.88
56,Female,Single,High School,53177.17,4431.43,Employed,0.413,850,10942.58
34,Male,Married,High School,44424.93,3702.08,Employed,0.145,661,17284.88
51,Male,Single,Other,36023,3001.92,Employed,0.133,724,17092.49
68,Male,Single,PhD,23762.57,1980.21,Retired,0.179,726,8737.08
35,Male,Married,Master's,30518.71,2543.23,Employed,0.141,662,15806.45
28,Other,Divorced,High School,81238.7,6769.89,Retired,0.116,726,12676.02
34,Female,Single,Bachelor's,130197.44,10849.79,Unemployed,0.063,693,18042.75
43,Male,Married,Bachelor's,70374.16,5864.51,Retired,0.119,722,26516.78
60,Male,Single,High School,20462.01,1705.17,Employed,0.295,624,6709.69
41,Male,Single,Bachelor's,85786.02,7148.84,Employed,0.102,580,10023.24
36,Male,Married,Bachelor's,29780.08,2481.67,Unemployed,0.272,658,15067.38
65,Male,Divorced,Bachelor's,36385.73,3032.14,Retired,0.239,667,24986.54
38,Female,Single,Bachelor's,17028.66,1419.06,Self-employed,0.128,663,5745.56
67,Female,Single,Bachelor's,38876.87,3239.74,Employed,0.382,615,20487.12
73,Female,Single,Master's,22673.3,1889.44,Unemployed,0.113,736,500
44,Male,Married,Master's,82896.06,6908,Employed,0.077,677,22705
46,Male,Single,Bachelor's,167130.23,13927.52,Unemployed,0.267,804,26375.58
45,Female,Single,Bachelor's,36280.64,3023.39,Employed,0.04,653,13374.14
65,Female,Married,Master's,48353.84,4029.49,Employed,0.139,754,11531.97
61,Female,Single,Other,30193.1,2516.09,Self-employed,0.177,776,13049.15
49,Female,Single,Bachelor's,39025.81,3252.15,Self-employed,0.101,638,21653.22
35,Female,Married,Bachelor's,25469.37,2122.45,Employed,0.213,713,902.21
65,Female,Divorced,Master's,43773.89,3647.82,Employed,0.19,713,25948.79
21,Male,Divorced,Bachelor's,46216.07,3851.34,Employed,0.053,580,9054.32
45,Female,Single,Master's,43446.12,3620.51,Self-employed,0.114,738,32992.76
27,Male,Divorced,Master's,56839.29,4736.61,Employed,0.061,702,11700.41
29,Male,Married,Master's,29184.08,2432.01,Self-employed,0.01,631,6996.65
44,Female,Single,Bachelor's,182390.52,15199.21,Retired,0.069,651,16438.26
21,Male,Married,High School,24550.59,2045.88,Student,0.468,680,17972.01
64,Male,Single,Bachelor's,24397.07,2033.09,Employed,0.125,725,12732.53
28,Male,Married,High School,8026.57,668.88,Employed,0.281,671,500
44,Male,Married,Bachelor's,57257.11,4771.43,Employed,0.094,591,11414.78
31,Male,Married,Master's,6528.04,544,Employed,0.301,703,28674.36
71,Male,Single,Bachelor's,29583.92,2465.33,Self-employed,0.036,661,35661.52
37,Male,Married,High School,23126.73,1927.23,Employed,0.24,685,40266.07
28,Male,Single,Bachelor's,15318.03,1276.5,Employed,0.085,697,14930.8
55,Other,Divorced,High School,37737.86,3144.82,Employed,0.208,787,24161.05
55,Male,Married,Master's,104853.33,8737.78,Employed,0.199,580,14081.82
53,Male,Single,Master's,56273.32,4689.44,Unemployed,0.244,767,16836.33
25,Female,Single,Master's,22976.89,1914.74,Employed,0.049,748,20935.37
62,Female,Married,High School,119860.8,9988.4,Employed,0.098,623,20671.31
59,Female,Married,High School,23395.38,1949.62,Employed,0.043,760,17757.35
61,Male,Married,PhD,69993.32,5832.78,Employed,0.047,613,18166.22
48,Female,Single,High School,12802.65,1066.89,Unemployed,0.197,713,17686.21
27,Female,Married,Bachelor's,31591.34,2632.61,Self-employed,0.028,624,25134.1
29,Female,Single,Master's,17797.35,1483.11,Employed,0.233,672,7638.21
28,Female,Married,Bachelor's,126308.04,10525.67,Student,0.24,723,10559.42
32,Female,Divorced,Bachelor's,23971.59,1997.63,Employed,0.185,694,10849.28
54,Female,Married,High School,19680.97,1640.08,Employed,0.048,665,18419.66
53,Female,Single,Other,48006.18,4000.52,Self-employed,0.187,692,21910.74
68,Male,Widowed,Bachelor's,31263.87,2605.32,Retired,0.349,641,8325.04
